GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
22200334,1610612756,1610612745,121,122,0.529,0.737,0.459,30,37,0.494,0.791,0.333,19,41
22200335,1610612762,1610612754,139,119,0.554,0.865,0.441,29,47,0.435,0.818,0.353,25,35
22200336,1610612744,1610612741,119,111,0.483,0.652,0.4,32,50,0.462,0.667,0.333,28,44
22200325,1610612765,1610612742,131,125,0.543,0.583,0.429,29,52,0.535,0.483,0.413,25,30
22200312,1610612739,1610612755,113,85,0.608,0.8,0.517,28,40,0.416,0.833,0.231,19,30
22200313,1610612753,1610612737,108,125,0.494,0.88,0.296,26,33,0.543,0.789,0.25,25,49
22200314,1610612738,1610612748,134,121,0.554,0.87,0.489,32,41,0.522,1,0.45,25,32
22200315,1610612751,1610612764,113,107,0.464,0.923,0.423,22,35,0.438,0.676,0.25,19,51
22200316,1610612752,1610612749,103,109,0.42,0.65,0.2,18,55,0.433,0.808,0.286,23,52
22200317,1610612750,1610612763,109,101,0.461,0.789,0.308,26,29,0.425,0.6,0.346,17,59
22200318,1610612740,1610612761,126,108,0.523,0.846,0.424,28,52,0.477,0.684,0.289,29,30
22200319,1610612760,1610612759,119,111,0.511,0.667,0.333,17,52,0.446,0.76,0.27,27,44
22200320,1610612743,1610612745,120,100,0.53,0.75,0.531,30,42,0.42,0.778,0.293,18,39
22200321,1610612756,1610612741,132,113,0.527,0.905,0.455,22,46,0.5,0.818,0.16,21,35
22200322,1610612762,1610612746,125,112,0.556,0.75,0.438,24,46,0.398,0.778,0.333,16,39
22200323,1610612758,1610612754,137,114,0.505,0.862,0.372,28,58,0.4,0.733,0.324,28,47
22200324,1610612747,1610612757,128,109,0.495,0.692,0.378,28,48,0.467,0.81,0.333,21,45
22200309,1610612765,1610612752,110,140,0.506,0.65,0.333,28,30,0.563,0.762,0.457,31,51
22200310,1610612742,1610612744,116,113,0.462,0.63,0.341,21,39,0.477,0.783,0.256,27,50
22200311,1610612757,1610612746,112,118,0.467,0.733,0.486,24,43,0.461,0.821,0.419,26,48
22200299,1610612755,1610612737,104,101,0.453,0.889,0.357,23,37,0.5,0.682,0.444,26,42
22200300,1610612764,1610612750,142,127,0.571,0.852,0.484,31,34,0.5,0.857,0.259,20,45
22200301,1610612738,1610612766,140,105,0.591,0.857,0.462,40,39,0.488,0.667,0.379,28,37
22200302,1610612751,1610612753,109,102,0.543,0.857,0.321,20,42,0.475,0.591,0.419,18,35
22200303,1610612761,1610612739,100,88,0.44,0.824,0.429,23,45,0.378,0.813,0.184,21,47
22200304,1610612740,1610612760,105,101,0.448,0.9,0.281,21,49,0.37,0.913,0.316,16,47
22200305,1610612743,1610612745,129,113,0.568,0.85,0.4,31,43,0.459,0.76,0.364,25,37
22200306,1610612762,1610612741,107,114,0.482,0.4,0.388,30,45,0.462,0.88,0.273,21,50
22200307,1610612758,1610612756,117,122,0.523,0.889,0.36,32,37,0.532,0.857,0.313,26,45
22200308,1610612747,1610612754,115,116,0.43,0.774,0.355,23,57,0.41,0.813,0.347,29,49
22200290,1610612751,1610612757,111,97,0.526,0.778,0.429,27,38,0.443,0.682,0.364,27,42
22200291,1610612750,1610612744,114,137,0.443,0.759,0.4,22,31,0.575,0.85,0.426,36,47
22200292,1610612746,1610612754,114,100,0.447,0.75,0.188,33,62,0.383,0.826,0.214,23,39
22200293,1610612737,1610612748,98,106,0.398,0.947,0.278,24,42,0.488,0.895,0.273,28,46
22200294,1610612738,1610612764,130,121,0.55,1,0.471,25,38,0.537,0.788,0.25,23,29
22200295,1610612765,1610612739,94,102,0.456,0.538,0.286,14,36,0.429,0.848,0.286,14,41
22200296,1610612752,1610612763,123,127,0.506,0.833,0.333,30,42,0.484,0.742,0.375,32,50
22200297,1610612753,1610612755,103,133,0.456,0.76,0.3,21,26,0.649,0.815,0.407,32,43
22200298,1610612749,1610612742,124,115,0.558,0.733,0.459,28,40,0.513,0.64,0.415,23,32
22200286,1610612761,1610612742,105,100,0.432,0.808,0.308,20,48,0.479,0.792,0.282,28,34
22200287,1610612745,1610612760,118,105,0.523,0.714,0.5,25,53,0.392,0.826,0.227,19,41
22200288,1610612759,1610612747,138,143,0.505,0.7,0.486,33,47,0.58,0.865,0.515,25,39
22200289,1610612756,1610612762,113,112,0.457,0.767,0.273,23,48,0.506,0.76,0.406,20,40
22200272,1610612766,1610612750,110,108,0.449,0.688,0.32,24,55,0.427,0.944,0.22,24,45
22200273,1610612753,1610612755,99,107,0.425,0.815,0.257,20,35,0.476,0.833,0.389,25,47
22200274,1610612752,1610612757,129,132,0.438,0.857,0.317,27,44,0.494,0.745,0.313,24,48
22200275,1610612738,1610612758,122,104,0.494,0.889,0.432,27,38,0.414,0.885,0.25,20,45
22200276,1610612754,1610612751,128,117,0.5,0.789,0.353,28,41,0.534,0.8,0.366,27,38
22200277,1610612748,1610612764,110,107,0.472,0.826,0.269,24,47,0.43,0.8,0.282,27,45
22200278,1610612745,1610612737,128,122,0.471,0.829,0.343,25,59,0.476,0.806,0.385,14,28
22200279,1610612763,1610612740,132,111,0.516,0.741,0.474,26,46,0.43,0.871,0.323,26,41
22200280,1610612749,1610612739,117,102,0.506,0.72,0.469,27,43,0.391,0.846,0.364,12,41
22200281,1610612760,1610612741,123,119,0.463,0.875,0.241,24,50,0.436,0.826,0.364,25,47
